CharacterId,CharacterName,Alias,Superpower,CharacterRole,actorId
1,Tony Stark,Iron Man,Wealth; Flight,Hero,1
2,James Rhodes,War Machine,Suit; Flight,Hero,2
3,Obadiah Stane,Iron Monger,Suit,Villain,3
4,Yinsen,NULL,NULL,Neutral,4
5,Pepper Pots,NULL,NULL,Neutral,5
6,Nick Fury,NULL,NULL,Hero,6
7,Bruce Banner,Hulk,Strength,Hero,7
8,Thaddeus Ross,Thunderbolt,NULL,Anti-Hero,8
9,Natasha Romanoff,Black Widow,Martial Arts,Hero,9
10,Ivan Vanko,Whiplash,Suit,Villain,10
11,Thor,NULL,Strength; Weapon; Flight,Hero,11
12,Jane Foster,NULL,NULL,Hero,12
13,Loki,NULL,Shape Shifting,Anti-Hero,13
14,Erik Selvig,NULL,NULL,Neutral,14
15,Heimdall,NULL,Vision,Hero,15
16,Odin,NULL,Strength,Neutral,16
17,Frigga,NULL ,NULL,Neutral,17
18,Clint Barton,Hawkeye,Weapon,Hero,18
19,Phil Coulson,NULL,NULL,Hero,19
20,Maria Hill,NULL,NULL,Neutral,20
21,Steve Rogers,Captain America,Strength; Agility; Martia Arts,Hero,21
22,Johann Schmidt,Red Skull,NULL,Villain,22
23,Peggy Carter,NULL,NULL,Hero,23
24,Bucky Barnes,Winter Soldier,Strength,Hero,24
25,Howard Stark,NULL,NULL,Hero,25
26,Aldrich Killian,The Mandarin,NULL,Villain,26
27,Happy Hogan,NULL,NULL,Neutral,27
28,Malekith,NULL,Magic,Villain,28
29,Sif,NULL,NULL,Hero,29
30,Sam Wilson,Falcon,Suit; Flight,Hero,30
31,Brock Rumlow,Crossbone,Suit,Villain,31
32,Sharon Carter,Agent 13,NULL,Hero,32
33,Alexander Pierce,NULL,NULL,Villain,33
34,Peter Quill,Star Lord,NULL,Hero,34
35,Gamora,NULL,Martial Arts,Hero,35
36,Drax the Destroyer,NULL,Strength,Hero,36
37,Groot,I am Groot,Tree,Hero,37
38,Rocket,NULL,Weapon,Hero,38
39,Ronan the Accuser,NULL,Strength,Villain,39
40,Yondu Udonta,NULL,Weapon,Anti-Hero,40
41,Nebula,NULL,Agility,Anti-Hero,41
42,Teneleer Trivan,The Collector,NULL,Neutral,42
43,Thanos,NULL,Strength,Villain,43
44,Pietro Maximoff,Quicksilver,Speed,Anti-Hero,44
45,Wanda Maximoff,Scarlet Witch,Magic; Mind Control,Hero,45
46,Vision,NULL,Flight,Hero,46
47,Ultron,NULL,Technology,Villain,47
48,Scott Lang,Ant Man,Size Alteration,Hero,48
