PersonId,FirstName,LastName,BirthDate,
1,Robert,Downey Jr.,1965-04-04,Nominee
2,Don,Cheadle,1969-03-11,Nominee
3,Jeff,Bridges,1949-12-04,Winner
4,Shaun,Toub,1963-04-06,Not yet
5,Gwyneth,Paltrow,1972-09-27,Winner
6,Samuel L.,Jackson,1948-12-21,Nominee
7,Mark,Ruffalo,1967-11-22,Nominee
8,William,Hurt,1950-03-20,Winner
9,Scarlett,Johansson,1984-11-22,Not yet
10,Mickey,Rourke,1952-09-16,Nominee
11,Chris,Hemsworth,1983-08-11,Not yet
12,Natalie,Portman,1981-06-09,NULL
13,Tom,Hiddleston,1981-02-09,NULL
14,Stellan,Skarsgard,1951-06-13,NULL
15,Idris,Elba,1972-09-06,NULL
16,Anthony,Hopkins,1937-12-31,NULL
17,Rene,Russo,1954-02-17,NULL
18,Jeremy,Renner,1971-01-07,NULL
19,Clark,Gregg,1962-04-02,NULL
20,Cobie,Smulders,1982-04-03,NULL
21,Chris,Evans,1981-06-13,NULL
22,Hugo,Weaving,1960-04-04,NULL
23,Hayley,Atwell,1982-04-05,NULL
24,Sebastian,Stan,1982-08-13,NULL
25,Dominic,Cooper,1978-06-02,NULL
26,Guy,Pearce,1967-10-05,NULL
27,Jon,Favrue,1966-10-19,NULL
28,Christopher,Eccleston,1964-02-16,NULL
29,Jaimie,Alexander,1984-03-12,NULL
30,Anthony,Mackie,1978-09-23,NULL
31,Frank,Grillo,1965-06-08,NULL
32,Emily,VanCamp,1986-05-12,NULL
33,Robert,Redford,1936-08-18,NULL
34,Chris,Pratt,1979-06-21,NULL
35,Zoe,Saldana,1978-06-19,NULL
36,Dave,Bautista,1969-01-18,NULL
37,Vin,Diesel,1967-07-18,NULL
38,Bradley,Cooper,1975-01-05,NULL
39,Lee,Pace,1979-03-25,NULL
40,Michael,Rooker,1955-04-06,NULL
41,Karen,Gillan,1987-11-28,NULL
42,Benicio,del Toro,1967-02-19,NULL
43,Josh,Brolin,1968-02-12,NULL
44,Aaron,Taylor-Johnson,1990-06-13,NULL
45,Elizabeth,Olsen,1989-02-16,NULL
