CharacterIdSeries,SeriesIdSeries,,,
19,1,,,
81,1,,,
82,1,,,
83,1,,,
84,1,,,
85,1,,,
23,2,,,
87,2,,,
88,3,,,
89,3,,,
90,3,,,
91,3,,,
92,3,,,
93,3,,,
94,4,,,
94,8,,,
95,4,,,
95,8,,,
95,9,,,
96,4,,,
97,5,,,
97,8,,,
98,5,,,
98,6,,,
98,3,,,
99,5,,,
100,6,,,
101,6,,,
102,6,,,
103,7,,,
103,8,,,
104,7,,,
105,7,,,
106,9,,,
107,9,,,
108,9,,,
109,10,,,
110,10,,,
111,10,,,
112,10,,,
113,10,,,
114,11,,,
115,11,,,
116,11,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
