CharacterId,CharacterName,Alias,Superpower,CharacterRole,ActorId,,Actor Name,seriesid
1,Tony Stark,Iron Man,Wealth,Hero,1,,Robert Downey Jr.,
2,James Rhodes,War Machine,Suit,Hero,2,,Don Cheadle,
3,Obadiah Stane,Iron Monger,Suit,Villain,3,,Jeff Bridges,
4,Yinsen,NULL,NULL,Neutral,4,,Shaun Toub,
5,Pepper Pots,NULL,NULL,Neutral,5,,Gwyneth Paltrow,
6,Nick Fury,NULL,NULL,Hero,6,,Samuel L. Jackson,
7,Bruce Banner,Hulk,Strength,Hero,7,,Mark Ruffalo,
8,Thaddeus Ross,Thunderbolt,NULL,Anti-Hero,8,,William Hurt,
9,Natasha Romanoff,Black Widow,NULL,Hero,9,,Scarlett Johansson,
10,Ivan Vanko,Whiplash,Suit,Villain,10,,Mickey Rourke,
11,Thor,NULL,Strength,Hero,11,,Chris Hemsworth,
12,Jane Foster,NULL,NULL,Hero,12,,Natalie Portman,
13,Loki,NULL,Trickery? Shape Shifting?,Anti-Hero,13,,Tom Hiddleston,
14,Erik Selvig,NULL,NULL,Neutral,14,,Stellan Skarsgard,
15,Heimdall,NULL,Vision?,Hero,15,,Idris Elba,
16,Odin,NULL,Strength,Neutral,16,,Anthony Hopkins,
17,Frigga,NULL ,NULL,Neutral,17,,Rene Russo,
18,Clint Barton,Hawkeye,Bow and arrow lol,Hero,18,,Jeremy Renner,
19,Phil Coulson,NULL,NULL,Hero,19,,Clark Gregg,
20,Maria Hill,NULL,NULL,Neutral,20,,Cobie Smulders,
21,Steve Rogers,Captain America,Strength,Hero,21,,Chris Evans,
22,Johann Schmidt,Red Skull,NULL,Villain,22,,Hugo Weaving,
23,Peggy Carter,NULL,NULL,Hero,23,,Hayley Atwell,
24,Bucky Barnes,Winter Soldier,Strength,Hero,24,,Sebastian Stan,
25,Howard Stark,NULL,NULL,Hero,25,,Dominic Cooper,
26,Aldrich Killian,The Mandarin,NULL,Villain,26,,Guy Pearce,
27,Happy Hogan,NULL,NULL,Neutral,27,,Jon Favrue,
28,Malekith,NULL,NULL,Villain,28,,Christopher Eccleston,
29,Sif,NULL,??,Hero,29,,Jaimie Alexander,
30,Sam Wilson,Falcon,Suit,Hero,30,,Anthony Mackie,
31,Brock Rumlow,Crossbone,NULL,Villain,31,,Frank Grillo,
32,Sharon Carter,Agent 13,NULL,Hero,32,,Emily VanCamp,
33,Alexander Pierce,NULL,NULL,Villain,33,,Robert Redford,
34,Peter Quill,Star Lord,NULL,Hero,34,,Chris Pratt,
35,Gamora,NULL,NULL,Hero,35,,Zoe Saldana,
36,Drax the Destroyer,NULL,Strength,Hero,36,,Dave Bautista,
37,Groot,I am Groot,Tree?,Hero,37,,Vin Diesel,
38,Rocket,NULL,NULL,Hero,38,,Bradley Cooper,
39,Ronan the Accuser,NULL,Strength,Villain,39,,Lee Pace,
