MovieId,Title,Rating,BoxOffice,DirectorId,USReleaseDate,Budget,Phase
1,Iron Man,7.9,585174222,1,2008-05-02,140000000,1
2,The Incredible Hulk,6.8,263427551,2,2008-06-13,150000000,1
3,Iron Man 2,7,623933331,1,2010-05-07,200000000,1
4,Thor,7,449326618,3,2011-05-06,150000000,1
5,Captain America: The First Avenger,6.9,370569774,4,2011-07-21,140000000,1
6,Marvel's The Avengers,8.1,1518812988,5,2012-05-04,220000000,1
7,Iron Man 3,7.2,1214811252,6,2013-05-03,178400000,2
8,Thor: The Dark World,7,644571402,7,2013-11-08,152700000,2
9,Captain America: The Winter Soldier,7.8,714264267,8,2014-04-04,177000000,2
10,Guardians of the Galaxy,8.1,773328629,9,2014-08-01,195900000,2
11,Avengers: Age of Ultron,7.4,1405403694,5,2015-05-01,365500000,2
12,Ant-Man,7.3,519311965,10,2015-07-17,109300000,2
13,Captain America: Civil War,7.8,1153304495,8,2016-05-06,250000000,3
14,Doctor Strange,7.5,677718395,11,2016-11-04,165000000,3
15,Guardians of the Galaxy Vol. 2,7.7,863756051,9,2017-05-05,200000000,3
16,Spider-Man: Homecoming,7.5,880166924,12,2017-07-07,175000000,3
17,Thor: Ragnarok,7.9,853977126,13,2017-11-03,180000000,3
18,Black Panther,7.7,1344028665,14,2018-02-16,205000000,3
19,Avengers: Infinity War,9,1841081683,8,2018-04-27,358000000,3
20,Ant-Man and the Wasp,NULL,NULL,10,2018-07-06,NULL,3
