CharacterId,ActorId,MovieId
1,1,1
1,1,2
1,1,3
1,1,6
1,1,7
1,1,11
1,1,13
1,1,16
1,1,19
2,2,1
2,2,3
2,2,7
2,2,11
2,2,13
2,2,19
3,3,1
4,4,1
4,4,7
5,5,1
5,5,3
5,5,6
5,5,16
5,5,19
6,6,1
6,6,3
6,6,4
6,6,5
6,6,6
6,6,9
6,6,11
6,6,19
7,7,2
7,7,6
7,7,7
7,7,11
7,7,19
8,8,2
8,8,13
8,8,19
9,9,NULL
10,10,3
11,11,4
11,11,6
11,11,8
11,11,11
11,11,14
11,11,17
11,11,19
12,12,4
12,12,8
13,13,4
13,13,6
13,13,8
13,13,17
13,13,19
14,14,4
14,14,6
14,14,8
14,14,11
15,15,4
15,15,8
15,15,11
15,15,17
15,15,19
16,16,4
16,16,8
16,16,17
17,17,4
17,17,8
18,18,4
18,18,6
18,18,11
18,18,13
19,19,1
19,19,3
19,19,4
19,19,6
20,20,6
20,20,9
20,20,11
20,20,19
21,21,5
21,21,6
21,21,8
21,21,9
21,21,11
21,21,13
21,21,16
21,21,19
22,22,5
22,22,19
23,23,5
23,23,9
23,23,11
24,24,12
24,24,5
24,24,9
24,24,13
24,24,19
25,25,1
25,25,3
25,25,5
25,25,12
25,25,13
26,26,7
27,27,1
27,27,3
27,27,7
27,27,16
28,28,8
29,29,4
29,29,8
30,30,9
30,30,11
30,30,12
30,30,13
30,30,19
31,31,9
31,31,13
32,32,9
32,32,13
33,33,9
34,34,10
34,34,15
34,34,19
35,35,10
35,35,15
35,35,19
36,36,10
36,36,15
36,36,19
37,37,10
37,37,15
37,37,19
38,38,10
38,38,15
38,38,19
39,39,10
40,40,10
40,40,15
41,41,10
41,41,15
41,41,19
42,42,NULL
43,43,6
43,43,10
43,43,11
43,43,19
44,44,9
44,44,11
45,45,9
45,45,11
45,45,13
45,45,19
46,46,11
46,46,13
46,46,19
47,47,11
48,48,12
48,48,13
49,49,12
50,50,12
51,51,12
52,52,13
52,52,18
52,52,19
53,53,3
53,53,13
53,53,16
53,53,19
54,54,13
55,55,14
55,55,17
55,55,19
56,56,14
57,57,14
57,57,19
58,58,14
59,59,15
59,59,19
60,60,15
